@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000348297695
@ ORBIT5           %le                  -0
@ GAMMATR          %le          53.5827131
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004326
@ DXMAX            %le         2.861364348
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066269
@ BETYMAX          %le          6010.06627
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.499110361
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "14/02/18"
@ TIME             %08s "18.57.29"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "E.CELL.23.B1"             1808.636092                  0 "MARKER"            "OMK"                                0
 "BPM.34R2.B1"              1856.087608                  0 "MONITOR"           "BPM"                                0
 "MQ.34R2.B1"               1860.399608                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.33L3.B1"              1909.536124                  0 "MONITOR"           "BPM"                                0
 "MQ.33L3.B1"               1913.848124                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.32L3.B1"               1962.98464                  0 "MONITOR"           "BPM"                                0
 "MQ.32L3.B1"                1967.29664                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.31L3.B1"              2016.433156                  0 "MONITOR"           "BPM"                                0
 "MQ.31L3.B1"               2020.745156                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.30L3.B1"              2069.881672                  0 "MONITOR"           "BPM"                                0
 "MQ.30L3.B1"               2074.193672                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.29L3.B1"              2123.330188                  0 "MONITOR"           "BPM"                                0
 "MQ.29L3.B1"               2127.642188                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.28L3.B1"              2176.778704                  0 "MONITOR"           "BPM"                                0
 "MQ.28L3.B1"               2181.090704                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.27L3.B1"               2230.22722                  0 "MONITOR"           "BPM"                                0
 "MQS.27L3.B1"               2231.14122               0.32 "QUADRUPOLE"        "MQS"                                0
 "MQ.27L3.B1"                2234.53922                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.26L3.B1"              2283.675735                  0 "MONITOR"           "BPM"                                0
 "MQ.26L3.B1"               2287.987735                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.25L3.B1"              2337.124251                  0 "MONITOR"           "BPM"                                0
 "MQ.25L3.B1"               2341.436251                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.24L3.B1"              2390.572767                  0 "MONITOR"           "BPM"                                0
 "MQ.24L3.B1"               2394.884767                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.23L3.B1"              2444.021283                  0 "MONITOR"           "BPM"                                0
 "MQS.23L3.B1"              2444.935283               0.32 "QUADRUPOLE"        "MQS"                                0
 "MQ.23L3.B1"               2448.333283                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.22L3.B1"              2497.469799                  0 "MONITOR"           "BPM"                                0
 "MQ.22L3.B1"               2501.781799                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.21L3.B1"              2550.918315                  0 "MONITOR"           "BPM"                                0
 "MQT.21L3.B1"              2551.832315               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.21L3.B1"               2555.230315                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.20L3.B1"              2604.366831                  0 "MONITOR"           "BPM"                                0
 "MQT.20L3.B1"              2605.280831               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.20L3.B1"               2608.678831                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.19L3.B1"              2657.815347                  0 "MONITOR"           "BPM"                                0
 "MQT.19L3.B1"              2658.729347               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.19L3.B1"               2662.127347                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.18L3.B1"              2711.263863                  0 "MONITOR"           "BPM"                                0
 "MQT.18L3.B1"              2712.177863               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.18L3.B1"               2715.575863                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.17L3.B1"              2764.712379                  0 "MONITOR"           "BPM"                                0
 "MQT.17L3.B1"              2765.626379               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.17L3.B1"               2769.024379                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.16L3.B1"              2818.160894                  0 "MONITOR"           "BPM"                                0
 "MQT.16L3.B1"              2819.074894               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.16L3.B1"               2822.472894                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.15L3.B1"               2871.60941                  0 "MONITOR"           "BPM"                                0
 "MQT.15L3.B1"               2872.52341               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.15L3.B1"                2875.92141                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.14L3.B1"              2925.057926                  0 "MONITOR"           "BPM"                                0
 "MQT.14L3.B1"              2925.971926               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.14L3.B1"               2929.369926                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "S.DS.L3.B1"               2978.033442                  0 "MARKER"            "OMK"                                0
 "BPM.13L3.B1"              2978.506442                  0 "MONITOR"           "BPM"                                0
 "MQT.13L3.B1"              2979.420442               0.32 "QUADRUPOLE"        "MQT"                 -0.0002033189403
